league,gameId,date,homeId,awayId,homeAbbr,awayAbbr
nbl,37770bc1-58ad-11f1-a93a-ebcda8a5e5b1,2026-12-05,6bf2a6e3-2626-491d-962b-48805205c06e,3bdb8ad6-7cf0-464d-b62c-eaca9145d06e,CNS,SEM
nbl,3751fcc5-58ad-11f1-a32f-279e256f2655,2026-12-04,105249a3-251d-4a9d-94f4-f57b8e0854b3,39fc4268-0cdf-455f-9ca1-12e344064000,ILL,SYD
nbl,37509e79-58ad-11f1-9e3b-fbbd24deadd3,2026-12-04,bbae77db-317d-4c17-aa04-75d53d20ad15,41c8f340-4d0a-4d68-a3c7-1b31f643f803,NZL,MEL
nbl,3748a57b-58ad-11f1-a4fa-fb9d3a8baf78,2026-12-03,f8185bc5-2674-4293-a2a7-aeb8c7549b30,bc5327d5-322e-4796-b103-4c3b63869edb,BRI,PER
nbl,374bfa7a-58ad-11f1-80a5-a590ae8a6049,2026-12-02,3164912c-7e74-463b-8fc3-5f7d45edfcc6,3bdb8ad6-7cf0-464d-b62c-eaca9145d06e,ADL,SEM
nbl,374c5a9d-58ad-11f1-8829-1daf76a0ede8,2026-11-22,f8185bc5-2674-4293-a2a7-aeb8c7549b30,39fc4268-0cdf-455f-9ca1-12e344064000,BRI,SYD
nbl,37514d45-58ad-11f1-917b-0f009f2e4d02,2026-11-22,3bdb8ad6-7cf0-464d-b62c-eaca9145d06e,6bf2a6e3-2626-491d-962b-48805205c06e,SEM,CNS
nbl,3750b552-58ad-11f1-a12d-7ddf75ccac0d,2026-11-21,41c8f340-4d0a-4d68-a3c7-1b31f643f803,bbae77db-317d-4c17-aa04-75d53d20ad15,MEL,NZL
nbl,37726ee0-58ad-11f1-8d86-85bf0639ac6b,2026-11-21,0602b1bc-8dfb-488c-ac11-7895de1a7556,105249a3-251d-4a9d-94f4-f57b8e0854b3,TAS,ILL
nbl,37779e30-58ad-11f1-a2d6-d729b42cc855,2026-11-20,6bf2a6e3-2626-491d-962b-48805205c06e,bc5327d5-322e-4796-b103-4c3b63869edb,CNS,PER
nbl,3748b33b-58ad-11f1-9f9a-71e9315f7411,2026-11-19,105249a3-251d-4a9d-94f4-f57b8e0854b3,3164912c-7e74-463b-8fc3-5f7d45edfcc6,ILL,ADL
nbl,3748f8f0-58ad-11f1-bb02-b15d4ea6aed8,2026-11-18,bbae77db-317d-4c17-aa04-75d53d20ad15,3bdb8ad6-7cf0-464d-b62c-eaca9145d06e,NZL,SEM
nbl,37470d73-58ad-11f1-9bf1-130129845108,2026-11-15,f8185bc5-2674-4293-a2a7-aeb8c7549b30,0602b1bc-8dfb-488c-ac11-7895de1a7556,BRI,TAS
nbl,3746a5e8-58ad-11f1-8707-7d800a023985,2026-11-15,39fc4268-0cdf-455f-9ca1-12e344064000,bbae77db-317d-4c17-aa04-75d53d20ad15,SYD,NZL
nbl,3743885e-58ad-11f1-b2f7-c9ba3efad88d,2026-11-14,bc5327d5-322e-4796-b103-4c3b63869edb,105249a3-251d-4a9d-94f4-f57b8e0854b3,PER,ILL
